pos, E
(+- 0.5 mm), (+- 0.1 V)
0, 3.9
2, 3.8
4, 3.8
6, 4.4
8, 5.0
10, 4.6
12, 3.8
14, 3.8
16, 3.8
18, 3.6
20, 3.5
22, 3.6
24, 4.0
26, 3.9
28, 3.7
30, 3.9
32, 3.9
34, 3.8
36, 3.6
38, 3.8
40, 3.9
42, 3.6
44, 3.4
46, 3.0
48, 2.8
50, 2.9
52, 3.0
54, 3.4
56, 3.8
58, 3.6
60, 3.0
62, 2.4
64, 2.0
66, 2.2
68, 2.6
70, 3.2
72, 3.5
74, 3.4
76, 2.9
78, 2.1
80, 1.8
82, 2.0
84, 2.4
86, 3.0
88, 3.4
90, 3.1
92, 2.5
94, 2.0
96, 1.6
98, 1.6
100, 2.0
102, 2.5
104, 3.0
106, 2.9
108, 2.5
110, 2.0
112, 1.7
114, 1.7
116, 2.1
118, 2.6
120, 2.7
122, 2.4
124, 2.0
126, 1.6
128, 1.3
130, 1.5
132, 1.8
134, 2.4
136, 2.6
138, 2.5
140, 1.9
142, 1.4
144, 1.3
146, 1.7
148, 1.8
150, 2.1
152, 2.3
154, 2.4
156, 2.0
158, 1.5
160, 1.4
162, 1.3
164, 1.7
166, 2.0
168, 2.5
170, 2.3
172, 2.0
174, 1.5
176, 1.1
178, 1.1
180, 1.6
182, 1.8
184, 2.2
186, 2.3
188, 1.9
190, 1.4
192, 1.1
194, 1.0
196, 1.4
198, 1.7
200, 2.3
202, 2.0
204, 1.5
206, 1.1
208, 0.9
210, 1.1
212, 1.4
214, 1.9
216, 2.1
218, 2.3
220, 1.7
222, 1.3
224, 1.1
226, 1.3
228, 1.9
230, 2.3
232, 2.3
234, 1.9
236, 1.6
238, 1.1
240, 1.0
242, 1.2
244, 1.6
246, 2.
248, 2.6
250, 2.5
